,ResponseId,MainBranch,Employment,RemoteWork,EdLevel,YearsCode,OrgSize,Country,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,WorkExp,ConvertedCompYearly,C#,C,HTML/CSS,Python,Dart,Bash/Shell,JavaScript,Java,Haskell,Assembly,Go,Groovy,Crystal,PHP,Delphi,C++,Clojure,Kotlin,APL,Rust,TypeScript,COBOL,PowerShell,Scala,Elixir,F#,LISP,Ruby,Julia,MATLAB,Objective-C,Erlang,Swift,Fortran,OCaml,R,SQL,Perl,Lua,VBA
11972,11973,2,2,2,1,3,1,72,2,1,1,1,19,1,2,1.0,14664.0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11973,11974,2,2,3,1,2,1,66,5,1,1,1,19,1,15,0.0,12.0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
11974,11975,2,2,1,2,3,7,4,2,1,1,1,6,1,2,2.0,72518.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11978,11979,2,2,2,1,3,1,16,2,1,1,4,2,1,17,0.0,48756.0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
11981,11982,2,2,1,1,2,7,14,2,1,1,1,4,1,13,1.0,75384.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11982,11983,2,2,1,1,3,7,68,2,1,1,1,108,1,2,1.0,57828.0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11984,11985,2,2,1,1,3,1,6,2,1,1,1,1,1,2,2.0,36072.0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11985,11986,2,2,1,6,3,1,1,2,1,1,1,2,1,2,1.0,140000.0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11990,11991,2,2,1,2,1,1,1,2,2,1,4,193,1,8,0.0,120000.0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11992,11993,2,2,2,2,3,10,1,2,1,1,4,1,1,2,2.0,131100.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
11993,11994,1,2,3,6,2,3,3,2,1,1,1,2,1,2,1.0,36700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11995,11996,2,2,1,1,4,1,14,3,1,1,1,147,12,2,3.0,62820.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
11999,12000,1,2,3,5,4,9,14,3,1,1,1,2,1,2,2.0,201023.0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12002,12003,2,2,2,1,2,2,4,2,1,1,1,1,1,2,1.0,57588.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12003,12004,2,2,2,1,3,3,18,2,1,1,1,20,1,2,1.0,33533.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12004,12005,2,2,1,1,5,9,14,3,1,1,1,4,1,4,4.0,94230.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12005,12006,2,2,2,2,3,1,4,1,1,1,4,2,1,2,2.0,51192.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12009,12010,2,2,2,1,2,1,18,2,1,1,1,20,1,2,0.0,9028.0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12010,12011,2,2,1,2,3,1,1,1,1,1,1,1,1,17,2.0,280000.0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12012,12013,2,2,1,7,4,5,1,3,1,1,1,1,1,2,3.0,150000.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12014,12015,2,2,1,4,3,4,2,2,1,1,1,2,1,2,1.0,31992.0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12021,12022,2,2,1,1,2,5,3,2,2,1,1,15,1,2,1.0,64029.0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12024,12025,2,1,1,1,2,5,18,2,1,1,1,20,1,2,1.0,51589.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12025,12026,2,2,1,2,2,4,1,2,4,3,7,194,1,12,1.0,96000.0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12027,12028,2,2,2,4,1,4,4,2,1,1,1,2,1,4,0.0,12792.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
12031,12032,2,2,1,1,3,9,3,1,1,1,1,13,1,2,2.0,62467.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12034,12035,2,2,2,2,2,9,14,2,1,1,1,109,1,2,1.0,119357.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12037,12038,2,2,1,1,1,4,14,1,1,1,1,1,1,2,2.0,96114.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12039,12040,2,2,1,1,2,3,1,2,1,1,2,2,1,2,1.0,210000.0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12040,12041,2,2,2,1,3,1,10,2,1,1,1,195,1,2,1.0,83182.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12044,12045,2,2,1,1,2,4,43,2,1,1,1,196,1,2,1.0,63986.0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12045,12046,2,2,2,1,2,4,1,2,1,1,1,1,1,2,1.0,148000.0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12046,12047,2,2,1,1,3,8,1,1,1,1,1,1,1,4,2.0,155000.0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12048,12049,2,2,1,1,2,1,11,5,1,1,1,70,1,2,1.0,74784.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
12054,12055,2,2,2,2,2,1,77,2,1,1,1,79,1,2,1.0,33801.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12056,12057,2,2,1,1,3,1,25,1,1,1,1,1,1,2,2.0,106212.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12063,12064,2,2,1,1,4,1,1,1,1,1,1,22,1,6,2.0,300000.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12065,12066,2,2,2,1,2,4,14,2,1,1,1,1,1,2,0.0,79153.0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12066,12067,2,2,1,5,1,4,1,2,1,1,1,37,1,2,0.0,220000.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12074,12075,2,2,1,1,1,2,18,2,1,1,1,20,1,2,0.0,5412.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12075,12076,2,2,2,2,3,8,1,2,1,1,1,162,1,2,1.0,154000.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12079,12080,2,1,1,2,3,4,3,1,1,1,3,6,1,4,2.0,82769.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12080,12081,2,2,1,7,3,4,64,2,1,1,1,10,1,2,1.0,44032.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12084,12085,1,2,1,5,4,1,1,3,1,1,1,1,1,2,3.0,250000.0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12085,12086,2,2,1,2,5,9,1,4,1,1,1,21,1,2,4.0,200000.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12087,12088,2,2,2,4,3,9,3,5,10,1,9,4,1,13,0.0,35138.0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12089,12090,1,2,1,1,3,4,1,1,1,1,1,1,1,2,1.0,115000.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12092,12093,2,2,2,1,3,3,4,2,1,1,1,2,1,2,0.0,58654.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12093,12094,2,1,1,1,3,1,1,2,1,1,1,1,1,2,1.0,70000.0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12095,12096,2,2,1,7,3,7,3,2,1,1,1,1,1,2,1.0,109318.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12096,12097,2,2,2,6,2,3,26,2,1,1,1,15,1,2,0.0,60064.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12097,12098,2,2,1,1,2,5,14,5,1,1,1,1,1,2,0.0,43974.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12098,12099,2,2,3,5,3,1,114,1,1,1,1,10,1,2,1.0,21600.0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
12101,12102,2,2,1,5,2,1,50,2,1,1,1,2,1,2,0.0,13524.0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12102,12103,2,2,1,2,2,5,1,2,1,1,1,10,1,3,0.0,140500.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12104,12105,2,2,1,2,3,7,15,1,1,1,1,13,1,2,1.0,54388.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
12107,12108,2,2,1,5,3,7,32,1,1,1,1,17,1,2,1.0,80784.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12112,12113,2,2,2,1,2,4,4,2,1,1,1,6,1,9,0.0,50656.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12113,12114,2,2,2,1,2,5,1,2,1,1,4,4,1,3,1.0,92000.0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12115,12116,2,2,3,2,3,2,1,2,1,1,1,1,1,4,1.0,165000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
12117,12118,2,2,2,5,3,5,33,2,1,1,1,4,1,2,1.0,83688.0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12119,12120,2,1,1,5,4,4,5,3,1,1,1,4,1,2,2.0,1279728.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12121,12122,2,2,2,2,2,8,20,2,1,1,1,4,1,2,1.0,42657.0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12122,12123,2,2,1,1,3,4,1,1,1,1,1,1,1,6,2.0,220000.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12124,12125,2,2,1,2,4,5,1,1,1,2,1,1,1,2,1.0,300000.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12126,12127,2,2,1,1,3,1,68,1,1,1,1,13,1,2,2.0,66504.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12131,12132,2,2,2,2,3,4,18,3,1,1,2,20,1,2,2.0,322430.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12132,12133,2,2,2,1,2,5,2,2,1,1,1,2,1,3,0.0,21329.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12134,12135,2,2,1,1,2,8,1,2,2,1,1,1,1,3,1.0,160000.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12137,12138,2,2,2,1,2,8,1,2,1,1,1,1,1,8,1.0,97000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12140,12141,2,2,1,1,3,5,18,2,1,1,1,20,1,2,1.0,479772.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12141,12142,2,2,1,5,1,4,1,1,2,1,4,1,1,9,0.0,85000.0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12144,12145,2,2,2,2,4,4,1,1,1,1,1,52,1,2,2.0,245000.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12149,12150,2,2,3,1,3,8,16,2,1,1,1,2,1,2,1.0,54852.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12151,12152,2,2,2,1,3,2,14,2,1,1,1,44,1,6,2.0,62820.0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
12152,12153,2,2,2,5,3,1,12,2,1,1,1,2,1,9,2.0,85315.0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12154,12155,2,7,1,5,2,2,14,5,1,1,1,1,1,14,0.0,103987.0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12155,12156,2,4,1,1,3,2,3,2,1,1,2,32,1,2,0.0,31392.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12157,12158,2,2,2,1,2,8,1,5,1,1,1,1,1,1,0.0,103000.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12160,12161,2,2,2,1,2,1,1,2,1,1,1,1,1,2,1.0,73000.0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
12161,12162,2,2,1,2,4,8,4,3,1,1,1,2,1,2,2.0,95979.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12163,12164,2,4,2,1,2,5,12,5,1,1,1,48,1,2,0.0,19196.0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12165,12166,2,2,1,7,3,1,4,2,1,1,1,4,1,2,1.0,47990.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12166,12167,2,2,2,1,3,1,3,2,1,1,1,197,1,2,1.0,134695.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12168,12169,2,2,1,2,3,1,3,1,1,1,1,4,1,2,2.0,117126.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12172,12173,2,2,1,5,1,2,1,2,1,1,1,1,1,2,1.0,65000.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12173,12174,2,2,1,1,2,2,1,2,1,1,1,85,1,1,1.0,160000.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12174,12175,2,2,2,1,4,4,15,4,1,1,1,2,1,2,3.0,63986.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12175,12176,2,3,1,5,2,9,7,2,1,1,1,6,1,4,1.0,143484.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12177,12178,2,2,1,5,3,3,41,2,1,1,1,158,1,2,1.0,83328.0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12179,12180,2,2,1,4,1,1,18,5,1,1,1,18,1,2,0.0,19346.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12180,12181,2,3,1,1,2,9,1,2,4,1,8,1,1,9,1.0,150000.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12184,12185,2,2,1,4,1,1,11,5,1,1,17,1,1,2,0.0,7476.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12186,12187,2,2,1,5,4,10,1,1,1,1,1,1,1,17,3.0,86000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12187,12188,2,2,3,2,2,9,14,5,1,1,1,4,1,2,0.0,43974.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12196,12197,1,2,1,1,3,7,1,1,1,1,1,85,1,9,2.0,116000.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12197,12198,2,7,2,1,3,1,72,2,1,1,6,40,1,2,0.0,8664.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12198,12199,2,2,2,5,3,1,40,2,1,1,1,4,1,2,2.0,74184.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12199,12200,2,2,2,1,2,1,1,2,1,1,1,1,1,2,1.0,120000.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12203,12204,2,2,1,5,3,4,1,1,4,3,9,1,1,12,2.0,160000.0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
12208,12209,2,1,2,1,2,2,4,2,1,1,1,2,1,2,1.0,42657.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12210,12211,2,2,1,1,2,4,18,2,1,1,1,20,1,2,0.0,11607.0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12211,12212,2,2,1,1,3,8,11,1,1,1,1,1,5,2,2.0,2243520.0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12212,12213,2,2,1,3,4,5,1,3,1,1,1,1,1,2,3.0,114000.0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12213,12214,2,2,2,2,2,9,12,5,1,1,1,1,1,2,0.0,50123.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12219,12220,2,2,1,1,4,1,1,1,1,1,1,1,1,2,2.0,200000.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12221,12222,2,2,2,2,2,9,2,2,1,1,1,2,1,2,0.0,20472.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
12222,12223,2,2,3,1,3,4,1,4,2,1,1,4,1,2,2.0,92700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
12232,12233,2,1,1,2,4,1,27,1,1,1,1,2,1,9,2.0,31992.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12236,12237,2,2,2,1,3,9,2,2,1,1,1,5,1,2,2.0,60787.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12240,12241,2,2,2,1,2,8,20,2,1,1,1,10,1,4,1.0,34548.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
